"rank","country","finalIq","pop2021"
1,"Singapore",107,5896.686
2,"China",105,1444216.107
3,"Hong Kong",105,7552.81
4,"Japan",104,126050.804
5,"South Korea",104,51305.186
6,"North Korea",104,25887.041
7,"Taiwan",104,23855.01
8,"Canada",100,38067.903
9,"Netherlands",100,17173.099
10,"Switzerland",100,8715.494
11,"Finland",100,5548.36
12,"Mongolia",100,3329.289
13,"Liechtenstein",100,38.25
14,"United Kingdom",99,68207.116
15,"Australia",99,25788.215
16,"Belgium",99,11632.326
17,"Austria",99,9043.07
18,"Estonia",99,1325.185
19,"Germany",98,83900.473
20,"France",98,65426.179
21,"Czech Republic",98,10724.555
22,"Sweden",98,10160.169
23,"Hungary",98,9634.164
24,"Slovakia",98,5460.721
25,"New Zealand",98,4860.643
26,"Iceland",98,343.353
27,"United States",97,332915.073
28,"Denmark",97,5813.298
29,"Norway",97,5465.63
30,"Croatia",97,4081.651
31,"Slovenia",97,2078.724
32,"Andorra",97,77.355
33,"Russia",96,145912.025
34,"Italy",96,60367.477
35,"Spain",96,46745.216
36,"Poland",96,37797.005
37,"Belarus",95,9442.862
38,"Latvia",95,1866.942
39,"Luxembourg",95,634.814
40,"Malta",95,442.784
41,"Vietnam",94,98168.833
42,"Ukraine",94,43466.819
43,"Portugal",94,10167.925
44,"Israel",94,8789.774
45,"Ireland",94,4982.907
46,"Lithuania",94,2689.862
47,"Greece",93,10370.744
48,"Bulgaria",93,6896.663
49,"Armenia",93,2968.127
50,"Argentina",92,45605.826
51,"Cambodia",92,16946.438
52,"Moldova",92,4024.019
53,"Malaysia",91,32776.194
54,"Romania",91,19127.774
55,"Cyprus",91,1215.584
56,"Greenland",91,56.877
57,"Serbia",90,8697.55
58,"Uruguay",90,3485.151
59,"Bermuda",90,62.09
60,"Turkey",89,85042.738
61,"Thailand",89,69950.85
62,"Chile",89,19212.361
63,"Laos",89,7379.358
64,"Suriname",89,591.8
65,"Brunei",89,441.532
66,"Cook Islands",89,17.565
67,"Ecuador",88,17888.475
68,"Mauritius",88,1273.433
69,"Samoa",88,200.149
70,"Mexico",87,130262.216
71,"Iraq",87,41179.35
72,"Bolivia",87,11832.94
73,"United Arab Emirates",87,9991.089
74,"Philippines",86,111046.913
75,"Jordan",86,10269.021
76,"Costa Rica",86,5139.052
77,"Georgia",86,3979.765
78,"Trinidad and Tobago",86,1403.375
79,"Tonga",86,106.76
80,"Indonesia",85,276361.783
81,"Brazil",85,213993.437
82,"Iran",85,85028.759
83,"Myanmar",85,54806.012
84,"Kazakhstan",85,18994.962
85,"Tunisia",85,11935.766
86,"Cuba",85,11317.505
87,"Libya",85,6958.532
88,"Kuwait",85,4328.55
89,"Bahrain",85,1748.296
90,"Fiji",85,902.906
91,"Montenegro",85,628.053
92,"New Caledonia",85,288.218
93,"Kiribati",85,121.392
94,"Pakistan",84,225199.937
