neighborhood,district,culturalType,#culturalPlaces
Fort Pienc,Eixample,Biblioteques,4
Fort Pienc,Eixample,Biblioteques municipals,2
Fort Pienc,Eixample,Sales d'estudi,1
Fort Pienc,Eixample,Casals i espais per a joves,2
Fort Pienc,Eixample,Centres cívics,1
Fort Pienc,Eixample,WiFi BCN,4
Fort Pienc,Eixample,Interiors d'illa,6
Fort Pienc,Eixample,Parcs i jardins,9
Fort Pienc,Eixample,Teatres,5
Fort Pienc,Eixample,Auditoris,1
Fort Pienc,Eixample,Discoteques,1
Fort Pienc,Eixample,Salons de ball,1
Fort Pienc,Eixample,Casals d'avis,2
Fort Pienc,Eixample,Casals infantils,1
Fort Pienc,Eixample,Àrees de jocs infantils,15
Fort Pienc,Eixample,Cocteleries,1
Fort Pienc,Eixample,Xampanyeries,1
Fort Pienc,Eixample,Restaurants,3
Fort Pienc,Eixample,Museus,1
Fort Pienc,Eixample,Museus municipals,1
Fort Pienc,Eixample,Karaokes,1
Fort Pienc,Eixample,Tablaos flamencs,1
Fort Pienc,Eixample,Casals de barri,1
Fort Pienc,Eixample,Arxius municipals,1
Sagrada Família,Eixample,Interiors d'illa,6
Sagrada Família,Eixample,Parcs i jardins,9
Sagrada Família,Eixample,Casals d'avis,4
Sagrada Família,Eixample,Àrees de jocs infantils,15
Sagrada Família,Eixample,WiFi BCN,2
Sagrada Família,Eixample,Casals de barri,2
Sagrada Família,Eixample,Centres cívics,1
Sagrada Família,Eixample,Bars i pubs musicals,2
Sagrada Família,Eixample,Cocteleries,3
Sagrada Família,Eixample,Xampanyeries,3
Sagrada Família,Eixample,Restaurants,1
Sagrada Família,Eixample,Teatres,4
Sagrada Família,Eixample,Discoteques,1
Sagrada Família,Eixample,Museus,1
Sagrada Família,Eixample,Biblioteques,2
Sagrada Família,Eixample,Casals infantils,1
Sagrada Família,Eixample,Biblioteques municipals,1
Sagrada Família,Eixample,Sales d'estudi,1
Baró de Viver,Sant Andreu,Casals i espais per a joves,1
Baró de Viver,Sant Andreu,Casals infantils,1
Baró de Viver,Sant Andreu,Àrees de jocs infantils,3
Baró de Viver,Sant Andreu,Parcs i jardins,1
Baró de Viver,Sant Andreu,Casals d'avis,1
Baró de Viver,Sant Andreu,Centres cívics,1
Baró de Viver,Sant Andreu,WiFi BCN,1
Sant Martí de Provençals,Sant Martí,Auditoris,1
Sant Martí de Provençals,Sant Martí,WiFi BCN,4
Sant Martí de Provençals,Sant Martí,Àrees de jocs infantils,13
Sant Martí de Provençals,Sant Martí,Casals d'avis,5
Sant Martí de Provençals,Sant Martí,Bancs del Temps,1
Sant Martí de Provençals,Sant Martí,Parcs i jardins,2
Sant Martí de Provençals,Sant Martí,Casals infantils,1
Sant Martí de Provençals,Sant Martí,Centres cívics,1
Sant Martí de Provençals,Sant Martí,Biblioteques,1
Sant Martí de Provençals,Sant Martí,Biblioteques municipals,1
Sant Martí de Provençals,Sant Martí,Sales d'estudi,1
El Poblenou,Sant Martí,Àrees de jocs infantils,16
El Poblenou,Sant Martí,Museus,1
El Poblenou,Sant Martí,Casals d'avis,3
El Poblenou,Sant Martí,Casals de barri,3
El Poblenou,Sant Martí,WiFi BCN,6
El Poblenou,Sant Martí,Sales d'estudi,2
El Poblenou,Sant Martí,Teatres,4
El Poblenou,Sant Martí,Discoteques,2
El Poblenou,Sant Martí,Cocteleries,1
El Poblenou,Sant Martí,Xampanyeries,1
El Poblenou,Sant Martí,Parcs i jardins,7
El Poblenou,Sant Martí,Bancs del Temps,1
El Poblenou,Sant Martí,Biblioteques,1
El Poblenou,Sant Martí,Biblioteques municipals,1
El Poblenou,Sant Martí,Sales de festes,1
El Poblenou,Sant Martí,Bars i pubs musicals,1
El Poblenou,Sant Martí,Centres cívics,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Casals infantils,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Parcs i jardins,3
Camp d'en Grassot i Gràcia Nova,Gràcia,Àrees de jocs infantils,4
Camp d'en Grassot i Gràcia Nova,Gràcia,Centres cívics,1
Camp d'en Grassot i Gràcia Nova,Gràcia,WiFi BCN,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Casals d'avis,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Teatres,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Casals i espais per a joves,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Biblioteques,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Discoteques,1
Camp d'en Grassot i Gràcia Nova,Gràcia,Karaokes,1
Vallcarca i els Penitents,Gràcia,Àrees de jocs infantils,9
Vallcarca i els Penitents,Gràcia,Sales d'estudi,3
Vallcarca i els Penitents,Gràcia,Arxius municipals,1
Vallcarca i els Penitents,Gràcia,Biblioteques,2
Vallcarca i els Penitents,Gràcia,Biblioteques municipals,2
Vallcarca i els Penitents,Gràcia,WiFi BCN,2
Vallcarca i els Penitents,Gràcia,Casals d'avis,2
Vallcarca i els Penitents,Gràcia,Parcs i jardins,4
Vallcarca i els Penitents,Gràcia,Interiors d'illa,1
Vallcarca i els Penitents,Gràcia,Casals de barri,1
Vila de Gràcia,Gràcia,Cocteleries,13
Vila de Gràcia,Gràcia,Xampanyeries,13
Vila de Gràcia,Gràcia,Teatres,20
Vila de Gràcia,Gràcia,Bars i pubs musicals,21
Vila de Gràcia,Gràcia,Biblioteques,4
Vila de Gràcia,Gràcia,Cinemes,3
Vila de Gràcia,Gràcia,Discoteques,4
Vila de Gràcia,Gràcia,Casals i espais per a joves,1
Vila de Gràcia,Gràcia,WiFi BCN,4
Vila de Gràcia,Gràcia,Salons de ball,1
Vila de Gràcia,Gràcia,Casals d'avis,4
Vila de Gràcia,Gràcia,Parcs i jardins,3
Vila de Gràcia,Gràcia,Museus,1
