JournalId,journal
b431c5ac-4177-43e7-9f34-7ad1e57df071,Notre Dame J. Formal Log.
7b517a2d-2192-4bf3-a4c4-68dce3026520,J. Comput. Appl. Math.
4b651991-5953-46cc-8aac-8ed32b8a7ce4,CoRR
5e126584-5140-4a30-b0e1-2b49a08f570e,Comput. Commun. Rev.
5c1c29a9-f289-42e1-9a6c-380e246ca99a,IEEE Trans. Geosci. Remote. Sens.
ce19dc51-936e-49f1-8f46-77fbf259fda5,IEEE Trans. Syst. Man Cybern. Part A
6f9714de-77de-48b9-8832-ba81e210fa75,Comput. J.
c502ecb8-518c-41f2-ad7a-063bcc48cb4c,Discret. Math. Algorithms Appl.
b25346e5-dc71-405c-b7b1-0628c4034e7b,Inf. Vis.
d60ad225-04d9-4755-908a-ab9c0e19b3cf,Int. J. Multim. Inf. Retr.
8c80185a-9655-4d9b-a4ba-3086b5083cd2,Proc. ACM Program. Lang.
987cecb6-8e7d-4b19-b51e-c3b87800e8b2,Int. J. Comput. Vis.
4a71891d-490b-442a-ab75-ef65c441365e,IEEE Trans. Medical Imaging
cbb3d225-18cc-4d3e-8d9d-b1e9e1734fa4,IEEE Trans. Commun.
b9b13b78-c4ef-4bef-b07b-ac09af18fe3d,Eng. Appl. Artif. Intell.
6e732006-008d-4438-aff3-79c203a0960c,Datenschutz und Datensicherheit
1beef999-fd0b-4dcb-a879-bb4fe0091b02,SIAM J. Numer. Anal.
ea677f53-bffb-450b-82f9-694c13048394,Int. J. Manuf. Technol. Manag.
40c0e636-6447-4fd2-9ab9-3e1eba0a2958,J. Syst. Archit.
b5729a23-2048-403d-bc65-c7f20b472125,Eur. J. Oper. Res.
5a19deb5-4ac9-4714-9cf8-24120314ec14,Neurocomputing
d3a492a9-dd92-4524-add6-44234894b835,Signal Image Video Process.
6827af05-3ab4-4d89-a223-ad0cf866a671,IEEE Access
6ec56126-b79c-481c-8f27-5dfce9af3eab,Int. J. Inf. Technol. Manag.
72142b97-a864-47b3-b887-9f37c200043f,Secur. Informatics
adaa42a9-fee7-4812-987f-80c4669be874,Genet. Program. Evolvable Mach.
5e3ac39e-5c75-4432-9321-4872af577105,Int. J. Circuit Theory Appl.
7cf4d509-422b-4a6b-8941-8c5d1ea05057,IEEE Trans. Inf. Theory
798ec125-98ef-4c21-98c5-7cb89e057bf1,Appl. Soft Comput.
d5073ea2-2734-472d-8b2f-2765e83b1632,PLoS Comput. Biol.
91be0f90-88b4-43fe-a61d-d7a5849fc108,Trans. Comput. Sci.
dac432b2-10d1-49bf-82ff-36515b9c1b75,BMC Bioinform.
3415789b-d83d-45e0-be62-e48861542100,计算机科学
8f9fccd6-2621-46a4-84fd-26755ea2a2fb,Sensors
71ecdc32-fe54-49eb-9a68-89880bf9c6be,IEEE ACM Trans. Audio Speech Lang. Process.
dab36919-ffd6-4a94-be18-d7a989e47a66,Eur. J. Comb.
5c837b96-37d2-463a-b6cb-add9a4fd5c5a,J. Organ. Comput. Electron. Commer.
6d0d38d3-06a2-409e-9cd5-ca9b855bf14c,ACM Trans. Design Autom. Electr. Syst.
9e26e015-c548-4671-a99e-2677475c8429,Ann. Oper. Res.
5961cfac-3e07-4a18-a9bf-09159b919f68,Int. J. Bus. Inf. Syst.
0c719b62-f0f6-41d7-96d6-0d36d420f5ca,Signal Process.
289bf261-0601-4c59-94de-1852e0a677cd,Trans. Inst. Meas. Control
d95bb8ac-5b3d-4051-bc93-137ada04834f,J. Informetrics
49337afa-e045-4d70-8e59-898ba4f5bc7b,J. Assoc. Inf. Sci. Technol.
f169d4ff-8d7f-4044-885c-cb7a923f3b0f,Artif. Life Robotics
b0f1fedd-0942-4437-9e77-c712214a9c5b,Remote. Sens.
b60911a6-31b2-4fe8-9b66-955bb279e4d6,Wirel. Pers. Commun.
47b9b2cf-3436-410e-bca9-6cf616f673c0,Discret. Optim.
ac21ccf2-3346-484c-87c6-e3cc580e7194,Asymptot. Anal.
