keywordId,keyword
e38fbf1d-f95c-4dc8-8a06-7d5c50af1d1e,10-fold cross-validation
c1463e4c-ce5a-4990-b680-09999be97260,22q11.2 deletion syndrome
e1991efd-8047-4cd7-b7be-e854abd5e7c9,3-D printing
3ded2c69-40cf-426c-a40f-ab1e9f017bce,3-d cads
0176a182-0fde-448c-b327-1d8c11635c65,3-omega
6f814938-8316-41b6-a641-7ff29ece804f,304L stainless steel
71c6a24e-c17f-4584-80c7-4029efae48e2,316 L stainless steel
6a59e7a2-027a-47b7-bed5-6c2a2cd8c406,316 stainless steel
c7ec3002-b705-418f-8b0c-37b255fc2691,3D imaging
02055c93-519e-404f-9b0e-73e76e85a3d2,3D modeling
9bc375e5-1332-49d7-9990-1effcad94184,3D models
ca41abf4-552b-48e9-b7bc-fe8f1177dfe1,3D printers
19eec7eb-4c4e-4b8d-9e05-7b93c91a36d8,3d finite differences
b53b3343-aa0f-4933-b021-4b4c57f564ff,A-RINGS
d0209fe9-d129-4399-8322-f2c0a9cc92b7,A-plane
8c111cae-1a2c-4686-b2a0-c9215fa1235d,A-stability
77f1e9cd-270d-4514-bc2b-684535ede103,AA6111
012b0171-dfd0-43c5-9902-14d4a06994af,AC analysis
8142dfea-fc4a-422e-8c2d-1f6b5b772126,Ab initio method
8cc5ce9a-7025-4dc8-a603-cfda91c9ee50,Ability testing
129aa6e5-d664-4388-9c87-e94c07cb401f,Ablation
3dd22ac0-873e-49b5-988f-123fdc44662f,Abrasion
4bdc8310-15c0-4b42-98da-a7a6e0809a49,Abrasion damages
5ff4734b-7e31-47ac-985f-2605875b7f25,Absolute difference
ce22dde0-de0e-48d8-8400-dd464361c993,Absorbing boundary condition
d4fa0227-f018-486a-968e-4dd6d2ee0254,Absorbing properties
c1654875-63f3-47e4-b8e7-cb5103e1745f,Absorption and scatterings
dc595ad5-73b3-4984-8e7b-9daf7f99cc7d,Absorption effects
8769b26e-e57b-4261-bf6c-705b106a349e,Abstracting
459a149b-9332-484a-8691-bdd210253b75,Abutments (bridge)
f062e384-6e20-47fe-906e-2c2d8ddf74cc,Academic institutions
fbc7ac61-98de-4552-ae66-4ac4d0945c32,Academic journal
b084b024-36b7-478e-9ed2-6b56a3db31fd,Academic research
e98dfae7-5c3f-4572-9cb7-0efdf0d232bc,Accelerated aging test
645cedc4-7445-4fa9-b9f4-4e38ef2ee1a8,Acceleration
609e472d-2865-44c5-b36a-12ce03e876e8,Acceleration data
d42de503-7e63-4ab9-8157-ef1139e1a31c,Acceleration vectors
dc3a4dff-f4e2-4be9-a353-70282f3db65d,Accelerometers
a115b97d-9d50-4c7c-9654-4367e4ad3cda,Accelerometry
8c9d1b58-7470-4449-b644-dfc91ab85fd5,Access category
140a8b16-d404-4dbb-bb1d-8eeff11c3f96,Access control
bcc7145e-b47b-4316-a815-fc9bf501fb9b,Access management
13192905-136f-48b3-8675-079c188d02a5,Accidents
c7e03365-2f46-4aec-9195-3e9df1101d8a,"Accidents, Traffic"
2c2c71ba-3e89-44a9-98fc-f4fc42e252d5,Accurate measurement
9654c518-69b4-41fd-9e25-139d11e9ed3e,Accurate velocity measurement
bd6b5fad-6cef-4ad6-9562-1fe8980b8b12,Acid sensitivities
a22b4515-ebcf-4398-9a26-263836015e8c,Acidic conditions
2abcb76f-674e-4cc5-8afb-d6e7ac298cfd,Acoustic Scattering
eff9c08c-a041-4d8e-a21c-fb8118b358a1,Acoustic arrays
