PaperId,Title,Year,Abstract,DOI
9e27a083-e5cc-4796-a969-013f68aaf697,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,2021,"Autonomous systems, although capable of performing complicated tasks much faster than humans, are brittle due to uncertainties encountered in most real-time applications. People supervising these systems often rely on information relayed by the system to make any decisions, which places a burden on the system to self-assess its proficiency and communicate the relevant information. Proficiency self-assessment benefits from an understanding of how well the models and decision mechanisms used by robot align with the world and a problem holder’s goals. This paper makes three contributions: (1) Identifying the importance of goal, system, and environment for proficiency assessment; (2) Completing the phrase “proficient ‹preposition›” using an understanding of proficiency span; and (3) Proposing the proficiency dependency graph to represent causal relationships that contribute to failures, which highlights how one can reason about their own proficiency given alterations in goal, system, and environment. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-51758-8_15
e99a7958-03a7-4e66-8f5f-ad3c67217b89,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,2021,"Practice is of the essence in Engineering courses. A relevant question in control engineering education is: How to close the gap between theory and practice? Once subjects are introduced in theoretical classes, students want to know about its practical use. Thus, it is important to introduce theoretical control concepts with practical experiments, enabling students to easily test and validate the theory. An Arduino based temperature control laboratory (TCLab) is deployed in this study as a portable kit providing students with a simple and effective means to test some feedback control techniques. Teaching/learning experiments are proposed involving proportional, integral and derivative controllers with Feedforward and Cascade control structures. Preliminary results achieved in a Portuguese university are presented. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",10.1007/978-3-030-58653-9_3
ac5c33a3-39c6-4814-b313-2a392b20fc29,Structural design space exploration using principal component analysis,2020,"Design space exploration (DSE) is the process whereby a designer seeks to understand some results across a set of design variations. Structural DSE of turbomachinery compressor blades is often challenging because the large number of design variables make it difficult to learn the effect that each variable has upon the stress contours. Principal component analysis (PCA) of the stress contours is used as a way to understand how the stress contours change over the design space. Two methods are introduced to address the challenge of understanding how the stress changes over a large number of variables. First, a two-point correlation is applied to relate the design variables to the scores of each principal component. Second, a coupling of the stress and coordinate location of each node in PCA is developed which also indicates how the stress variations relate to geometric variations. These provide insight to how design variables influence the stress. It is shown how these methods use PCA as DSE tools to better explore the structural design space of compressor blades. Better DSE can improve compressor blades and the computational cost needed for their design. Copyright © 2020 by ASME",10.1115/1.4047428
50c01ef0-d84c-4505-96a2-f87dd3861de6,Religion-focused dating apps: A Q methodology study on the uses of mutual,2020,"Dating apps have become an increasingly viable option for individuals seeking interpersonal romantic relationships. While there is significant research regarding user motivation on dating apps such as Bumble, Tinder, and Match.com, there is no published research that discusses the motivations of Mutual app users. Developed as a dating app to target members of The Church of Jesus Christ of Latter-Day Saints, Mutual allows users to find potential mates who share their religious background and specify their relationship readiness (from “Into Dating I Guess” to “Ready for a Ring”). This research aims to illuminate the various motivations, attitudes, and opinions of Mutual app users through Q methodology, which identifies perceptual groups among homogeneous populations through a factor analysis of participants’ agreement with similar statements regarding Mutual use. Findings indicated four factor groups: the Relationship Readies (i.e., those serious about dating), the Swipeaholics (i.e., those looking for entertainment), the Faithless (i.e., those who felt pressured to use Mutual), and the Eligible Optimists (i.e., those who saw the app as a convenient, entertaining way to date). Different from other research on dating apps, this study indicates that people may use a niche religion-focused dating app to find individuals with similar moral values or due to external pressure from others. Results warrant further investigation into niche dating apps. © 2020 Elsevier Ltd",10.1016/j.tele.2020.101448
378d79f1-b096-462b-b755-e233eff53f76,Interleaving physics- and data-driven models for power system transient dynamics,2020,"The paper explores interleaved and coordinated refinement of physics- and data-driven models in describing transient phenomena in large-scale power systems. We develop and study an integrated analytical and computational data-driven gray box environment needed to achieve this aim. Main ingredients include computational differential geometry-based model reduction, optimization-based compressed sensing, and a finite approximation of the Koopman operator. The proposed two-step procedure (the model reduction by differential geometric (information geometry) tools, and data refinement by the compressed sensing and Koopman theory based dynamics prediction) is illustrated on the multi-machine benchmark example of IEEE 14-bus system with renewable sources, where the results are shown for doubly-fed induction generator (DFIG) with local measurements in the connection point. The algorithm is directly applicable to identification of other dynamic components (for example, dynamic loads). © 2020 Elsevier B.V.",10.1016/j.epsr.2020.106824
b0cf3341-3afc-4b73-ab8d-5422c0c90345,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,2020,"This research demonstrates that fiber Bragg grating (FBG) strain sensors can survive and provide useful strain information when integrated into a woven fabric subjected to ballistic impact testing. In this work, FBGs were integrated into a single-layer, Kevlar® fabric, sensing mat, placed between a 30-layer Kevlar® fabric shoot pack and clay backing material, and then impacted with an 8.23 g, 12.69 mm diameter, steel ball bearing at velocities up to 285 m/s. Three different optical fiber types, with differing fiber coatings and fiber diameters, were tested. The FBG strain response was determined from the full-spectrum FBG response which was interrogated at 100 kHz throughout the impact event. The difference in FBG strain response for the different coatings and fiber diameters were compared. Additionally, the degradation of the coatings after repeated impacts were visually characterized, showing that smaller diameter fibers behaved better with a more elastic coating. © 2020 Elsevier Inc.",10.1016/j.yofte.2020.102356
7283e8e2-efac-442d-a544-056cd43c0fe1,The effects of transition style for collaborative view sharing in immersive Virtual Reality,2020,"New low-cost Virtual Reality (VR) technology is enabling large numbers of engineers and designers to be outfitted with VR tools. This, in turn, is making feasible new tools such as immersive, collaborative, design environments that reflect the collaborative environment of drafting tables while still providing all the power of modern, computer-based, design tools. However, before such an environment can be fully realized, basic issues surrounding collaboration in VR such as cybersickness and disorientation must be more fully addressed. This work presents the results of an experimental study conducted to characterize the trade-offs between different styles of transitioning collaborators to a shared view in an immersive virtual environment. The experimental task consisted of asking participants to identify in which quadrant of the car specific components were located. Quadrant identification was performed after a participant's virtual location was transitioned to a shared view location focused on the component to identify. The study was conducted with 45 participants who provided 1890 transition response datapoints. Analysis of these results suggests that, in many cases, collaborators are willing to experience some mild cybersickness in order to reduce their disorientation and improve both confidence and accuracy of component location identification. The results also support the recommendation that the best practice is to provide support for multiple transition styles and allow collaborators to select their preference. © 2020 Elsevier Ltd",10.1016/j.cag.2020.08.003
c30ee9d3-4421-4a88-b6b8-47a59fcc13cd,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,2020,"This paper proposes a probabilistic extension to flexible hybrid state estimation (FHSE) for cyber-physical systems (CPSs). The main goal of the algorithm is improvement of the system state tracking when realistic communications are taken into account, by optimizing information and communication technology (ICT) usage. These advancements result in: 1) coping with ICT outages and inevitable irregularities (delay, packet drop and bad measurements); 2) determining the optimized state estimation execution frequencies based on expected measurement refresh times. Additionally, information about CPSs is gathered from both the phasor measurement units (PMU) and SCADA-based measurements. This measurement transfer introduces two network observability types, which split the system into observable (White) and unobservable (Grey) areas, based on 1) deployed measuring instruments (MIs) and 2) received measurements. A two-step bad data detection (BDD) method is introduced for ICT irregularities and outages. The proposed algorithm benefits are shown on two IEEE test cases with time-varying load/generation: 14-bus and 300-bus. © 2020 Elsevier Ltd",10.1016/j.ijepes.2020.106179
3e7edf41-83c4-4c24-82b6-8218750c6507,Solid-state membranes formed on natural menisci,2020,"We present a method to create robust, nanoscale solid-state membranes using the natural shape of a liquid meniscus as a template. A narrow, open channel is etched into a silicon substrate and then a photoresist polymer is introduced into the channel through spontaneous capillary action. The natural concave meniscus formed by the polymer is then covered by a thin chemical vapor deposited membrane. The polymer is removed by sacrificial etching, leaving behind a suspended membrane. Membranes as large as 20 μm by 9 mm can be fabricated with a thickness as low as 50 nm. © 2020 IOP Publishing Ltd.",10.1088/1361-6528/aba711
acb474c9-8727-4805-bfcb-61749a956687,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,2020,"Climate change caused by excessive CO2 emissions in the atmosphere has attracted widespread public concern in recent years. Current industrial methods generally utilize monoethanolamine for CO2 capture; however, the CO2 regeneration requires a high temperature and energy demand during every adsorption/desorption process, along with material losses. Many solid amines with high capture capacity and stability are developed as adsorbents to overcome the limitations. However, the environmental impacts caused by adsorbents themselves are not holistically considered and discussed; meanwhile, material syntheses and consumptions are also associated with CO2 emission. To determine the environmental impacts and identify hotspots of novel CO2 capture adsorbents, two carbon nanotube supported polyethyleneimine, physically adsorbed and covalently bonded, were compared with traditional monoethanolamine method using life cycle assessment. The carbon payback periods were also analyzed to gain understanding on whether the currently evaluated novel materials are suitable for industrial application. Results suggest that, material usage, especially carbon nanotubes, contributes the majority of the overall environmental impacts for both types of carbon nanotube supported polyethyleneimine. Meanwhile, their carbon payback periods are over 40 times longer than monoethanolamine during the synthesis phase. However, the energy consumption of physically adsorbed polyethyleneimine saves up to 60% compared to monoethanolamine in every adsorption/desorption cycle due to its lower heat capacity. In addition, the rate of cumulative CO2 remission for carbon nanotube supported polyethyleneimine is twice higher than monoethanolamine, indicating the potential application for industrial CO2 capture. Overall, our study indicates that current status of solid amine has a potential in CO2 capture, but requires much improvements. Future research should pay attention on decreasing the initial material synthesis and increasing the product life time due to their high environmental tradeoffs. Meanwhile, our study highlights that unilateral emphasis of the CO2 capture efficiency by novel materials may not be adequate, comprehensive considerations should be focused on the comparison throughout material life cycles including use and preparation phases. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.122465
