City,Country,LocationId
Mahalapye,Botswana,1072304817
Thung Yai,Thailand,1764101151
Kalwākurti,India,1356100988
Dyer,United States,1840010224
Yakeshi,China,1156666223
Meleiro,Brazil,1076001020
Zərdab,Azerbaijan,1031852579
San Fabian,Philippines,1608702400
Hârşova,Romania,1642407029
Vau i Dejës,Albania,1008394491
Xiangjiaba,China,1156235765
Mamers,France,1250464299
Villareal,Spain,1724206895
Yingkou,China,1156257074
Kula,Serbia,1688477275
Krnov,Czechia,1203745289
Costigliole d’Asti,Italy,1380235460
Karmaskaly,Russia,1643751700
Avaré,Brazil,1076118860
Filadélfia,Brazil,1076975791
Ahlerstedt,Germany,1276982088
Kranuan,Thailand,1764256426
Debre Birhan,Ethiopia,1231777741
Terra Alta,Brazil,1076764322
Nový Bor,Czechia,1203651923
Martonvásár,Hungary,1348618816
Bederkesa,Germany,1276174546
Mitrovicë,Kosovo,1901138430
Mahaplag,Philippines,1608946105
Shelton,United States,1840021123
Abra de Ilog,Philippines,1608871272
Tak Bai,Thailand,1764842940
Bethel,United States,1840023353
Oliva,Argentina,1032905249
West Little River,United States,1840029096
Uchoa,Brazil,1076170916
Yangambi,Congo (Kinshasa),1180077706
Khem Karan,India,1356049560
Ban Ta Hua Fai,Thailand,1764395694
Fruitridge Pocket,United States,1840075898
Pichilemu,Chile,1152498637
West Donegal,United States,1840142496
Shioya,Japan,1392003532
Morong,Philippines,1608129969
Tnine Sidi Lyamani,Morocco,1504028221
San Gregorio di Catania,Italy,1380676054
Agryz,Russia,1643220768
Farg‘ona,Uzbekistan,1860479627
Manila,Philippines,1608618140
Teisendorf,Germany,1276609221
Lafayette,United States,1840020284
Kenedy,United States,1840019684
Saint-Raymond,Canada,1124162305
Passignano sul Trasimeno,Italy,1380195076
Wellington,United States,1840022411
Qingping,China,1156033855
Blois,France,1250729037
Xinyaoshang,China,1156601329
Buriti Alegre,Brazil,1076584363
Le Mans,France,1250829671
Monte Libretti,Italy,1380604533
Coronel Suárez,Argentina,1032444981
San Manuel,Philippines,1608368777
Tvøroyri,Faroe Islands,1234871801
Enkhuizen,Netherlands,1528919863
Padre Bernardo,Brazil,1076653841
Rožňava,Slovakia,1703307007
Bianyang,China,1156368240
Bavly,Russia,1643213721
Ginebra,Colombia,1170109956
