title,author
Two-stage Robust Network Design with Exponential Scenarios.,Arvind Ramanathan
Enhanced IPCGAN-Alexnet model for new face image generating on age target.,Anita Schöbel
A workflow management system to feed digital libraries: proposal and case study.,Keecheon Kim
Nonrigid medical image registration with locally linear reconstruction.,Amir Bozorgzadeh
Local β compactness as fuzzy predicates defined in Łukasiewicz logic.,John T. Fredricksen
Weblogging: A study of social computing and its impact on organizations.,Kwok-Kai Soo
Smart Edge Caching-Aided Partial Opportunistic Interference Alignment in HetNets.,Chia-Lung Yeh
A WWW Information Seeking Process Model.,Hen-Wai Tsao
XV. Jean Paul (1763-1825).,Roy Edgar Hansen
Low-latency service function chain migration in edge-core networks based on open Jackson networks.,David Dagan Feng
Szeged index of TUC,Qiqi Wang
An Approach to Identify Optic Disc in Human Retinal Images Using Ant Colony Optimization Method.,Arturo Molina 0001
Facial asymmetry-based feature extraction for different applications: a review complemented by new advances.,Andrzej Omieljanowicz
Topic-based label distribution learning to exploit label ambiguity for scene classification.,Diogo Poças
"One-Tape, Off-Line Turing Machine Computations",André Raspaud
Computational performance of basic state reduction based dynamic programming algorithms for bi-objective 0-1 knapsack problems.,John T. Fredricksen
Professional networking with emailing groups: A case of Pakistan Library Automation Group.,Naohisa Komatsu
Leverage Point Identification Method for LAV-Based State Estimation.,Lukasz Maksymiuk
Singular value decomposition of time-varying matrices.,Lukasz Maksymiuk
Functional proteomic pattern identification under low dose ionizing radiation.,Norman F. Schneidewind
Developing Infographics to Facilitate HIV-Related Patient-Provider Communication in a Limited-Resource Setting.,C. G. Parthipan
An Energy-Efficient Train Control Framework for Smart Railway Transportation.,Akira Suzuki
eHR Cloud Transformation: Implementation Approach and Success Factors.,Hai-Wei Sun
FCC's Broadband Quartet: A State-Federal Fugue or Feud?,Wirt Atmar
Transmission-Efficient Clustering Method for Wireless Sensor Networks Using Compressive Sensing.,Hidehisa Yoshida
The Effects of Network Externality and Flow Experience on Mobile SNS Continuance.,Roy Edgar Hansen
Rational Points of Some Elliptic Curves Related to the Tilings of the Equilateral Triangle.,Lianjun Xiao
PRALINE,Mazen O. Hasna
Editorial.,Keecheon Kim
Reliable Estimation for Health Index of Transformer Oil Based on Novel Combined Predictive Maintenance Techniques.,Arthur J. Davidson
A knowledge based decision support system for computer performance management.,Bettina Klaus
Convergence of the Least Squares Shadowing Method for Computing Derivative of Ergodic Averages.,Anita Schöbel
An interval statistical procedure for use in validation of simulation models.,Jiang Ma
Research and Implementation of Mobile Internet Management Optimization and Intelligent Information System Based on Smart Decision.,Jiang Ma
On Row-Cyclic Codes with Algebraic Structure.,Alper Korkmaz
INDIGO: Better Geomagnetic Observatories Where We Need Them.,Dok Nam Lee
Two-dimensional dot codes for product identification.,Ahmed M. Mohamed
Lagrangian Duality for Robust Problems with Decomposable Functions: The Case of a Robust Inventory Problem.,Adriano Meta
Design and Implementation of Web Services Middleware to Support Fair Non-Repudiable Interactions.,Astrid Tannert
The role and problems of legal culture in the social security of the population of the Republic of Kazakhstan.,Jiang Ma
Consistency degrees of theories in some systems of propositional fuzzy logic.,Heike Siebert
Explorations into Virtual Architecture: A HIT Lab Gallery.,Qiqi Wang
Investigating voice in action teams: a critical review.,Guangyuan Pan
Higher-order correlations in non-stationary parallel spike trains: statistical modeling and inference.,Chi-Sang Jung
Survey of security services on group communications.,Andrzej Omieljanowicz
Deterministic Extractors for Bit-Fixing Sources and Exposure-Resilient Cryptography.,E. Lerzan Örmeci
Cognitive strategies observed during problem solving with LOGO.,Hen-Wai Tsao
Beat Tracking for Multiple Applications: A Multi-Agent System Architecture With State Recovery.,Andrew J. Hinchley
Detection of Structural Changes in Tachogram Series for the Diagnosis of Atrial Fibrillation Events.,N. C. Simpson
H,E. A. Mary Anita
SPECIAL ISSUE: 2017 International Conference on Applications and Techniques in Cyber Intelligence (ATCI 2017).,Cynthia Jane Solomon
Spectral Embedded Deep Clustering.,Qiqi Wang
Faster Similarity Search for Multimedia Data Via Query Transformations.,Andrew J. Hinchley
INTRODUCTION. Systèmes d'organisation des connaissances hétérogènes pour les applications documentaires.,Chih-Yuan Yao
Extending and interpreting Post's programme.,C. G. Parthipan
Architectures reconfigurable et faible consommation. Réalité ou prospective ?,Jan Camenisch
Engagement in the course of programming in higher education through the use of gamification.,Arun Mittal
Improving the prediction performance of customer behavior through multiple imputation.,M. I. Cohen
Determinants of IS Planning Comprehensiveness.,Lianjun Xiao
Robust and Unobtrusive Display-to-Camera Communications via Blue Channel Embedding.,Moulay A. Barkatou
A Bidirectional Differential Cascode Voltage Switch DC-DC Buck-Boost Converter for Low Voltage Application.,Oliver Marschollek
Uncertain Currency Model and Currency Option Pricing.,Jiang Ma
Analysis of an adaptive Uzawa finite element method for the nonlinear Stokes problem.,Björn Berghausen
Optimal power allocation for relayed transmissions over Rayleigh-fading channels.,Kwok-Kai Soo
Evaluation of Dynamic Channel and Power Assignment for Cognitive Networks.,Jan Camenisch
Correlation Coefficients for a Study with Repeated Measures.,Hady Pranoto
R & D indicators and socio-economic cohesion.,Adel El-Faraskoury
Mechanisms of ventricular arrhythmias elicited by coexistence of multiple electrophysiological remodeling in ischemia: A simulation study.,Laurent Chupin
Bilateral vs. Paretic-Limb-Only Ankle Exoskeleton Assistance for Improving Hemiparetic Gait: A Case Series.,Mazen O. Hasna
Lightweight Secure Message Delivery for E2E S2S Communication in the IoT-Cloud System.,Wirt Atmar
RIO configuration optimization for assured service in diffserv networks.,Björn Berghausen
Perceptual non-intrusive speech quality assessment using a self-organizing map.,K. R. Ramakrishnan
