"Worker";"Machine";"score"
"1";"A";52
"1";"A";52,8
"1";"A";53,1
"2";"A";51,8
"2";"A";52,8
"2";"A";53,1
"3";"A";60
"3";"A";60,2
"3";"A";58,4
"4";"A";51,1
"4";"A";52,3
"4";"A";50,3
"5";"A";50,9
"5";"A";51,8
"5";"A";51,4
"6";"A";46,4
"6";"A";44,8
"6";"A";49,2
"1";"B";62,1
"1";"B";62,6
"1";"B";64
"2";"B";59,7
"2";"B";60
"2";"B";59
"3";"B";68,6
"3";"B";65,8
"3";"B";69,7
"4";"B";63,2
"4";"B";62,8
"4";"B";62,2
"5";"B";64,8
"5";"B";65
"5";"B";65,4
"6";"B";43,7
"6";"B";44,2
"6";"B";43
"1";"C";67,5
"1";"C";67,2
"1";"C";66,9
"2";"C";61,5
"2";"C";61,7
"2";"C";62,3
"3";"C";70,8
"3";"C";70,6
"3";"C";71
"4";"C";64,1
"4";"C";66,2
"4";"C";64
"5";"C";72,1
"5";"C";72
"5";"C";71,1
"6";"C";62
"6";"C";61,4
"6";"C";60,5
