Provincia;PIB;Pob;Sup;Atur;SAU;Turistes;Immigrants;Natalitat;Empresas;Hipotecas;Costa;Frontera
A Coruña;23891;1145488;7950;11,6;1906,19;1745491;3,3;8,76;82729;15259;1;0
Álava;10669;313819;3038;11,3;802,01;334761;8,3;10,45;21675;7330;0;0
Albacete;6707;400891;14926;20;6001,34;334950;8,2;10,36;27256;4742;0;0
Alicante;37501;1917012;5817;22,4;1501,35;3450368;24,2;10,82;132814;27140;1;0
Almería;14489;684426;8775;26,8;2000,03;1175254;21;13,58;42546;16611;1;0
Asturias;23497;1085289;10604;13,4;2637,39;1441377;4,3;7,76;70362;12084;1;0
Ávila;3423;171680;8050;18,5;3421,79;289106;7,2;9,01;11414;2986;0;0
Badajoz;11014;688777;21714;21,4;11078,45;561574;3,3;10,67;39739;8955;0;1
Barcelona;151555;5487935;7728;16,2;1360,41;9473981;14,6;12,1;458918;61861;1;0
Burgos;10007;375563;14291;12,7;6211,31;712477;9,2;9,66;25397;6250;0;0
Cáceres;6803;413633;19868;19;9358,54;595575;3,5;8,74;25834;5584;0;1
Cádiz;22835;1230594;7436;26,9;2292,1;2218720;3,7;12,03;61056;18510;1;0
Cantabria;13867;589235;5321;12;1171,99;1063145;6,5;10,26;39024;8638;1;0
Castellón;14771;602301;6632;20;1647,82;979155;18,5;12,33;40797;10028;1;0
Ceuta;1709;78674;19;18,9;0,03;81035;4,5;16,1;3615;768;1;1
Ciudad Real;9482;527273;19813;19,9;8863,21;394222;8,5;10,97;31627;5220;0;0
Córdoba;13114;803998;13771;26,1;6587,89;878939;3,1;11,06;48249;10641;0;0
Cuenca;3952;217363;17141;15,9;7510,98;316393;12,5;8,73;14236;1917;0;0
Girona;20655;747782;5910;18,2;1063,41;3246409;21,4;12,98;58240;13063;1;1
Granada;15370;907428;12647;26,3;4871,22;2132366;6,8;11,73;58319;12020;1;0
Guadalajara;4799;246151;12212;13,5;3068,06;241289;15,4;13,6;13494;4399;0;0
Guipúzcoa;22230;705698;1980;9;489,46;900471;5,8;10,46;60580;9448;1;1
Huelva;9800;513403;10128;22,6;2406,65;1088706;7,8;12,29;26277;9050;1;1
Huesca;5456;228409;15636;10,6;4691,13;697744;12;9,67;16550;3669;0;1
Illes Balears;27846;1095426;4992;18;1674,24;7555293;21,7;12,01;89562;19044;1;0
Jaén;10220;669782;13496;23,2;6379,8;485660;2,9;10,79;35758;7416;0;0
La Rioja;8045;321702;5045;12,8;1217,14;507458;14,6;11,21;23190;6791;0;0
Las Palmas;23359;1083502;4066;28;227,84;4020934;14;10,12;70889;14408;1;0
León;10616;500169;15581;14,6;3930,96;750223;5;7,26;33126;7064;0;0
Lleida;11950;436402;12172;11,4;3513,52;786200;17,8;12,25;36598;6456;0;1
Lugo;6636;355195;9856;9,3;2705,39;590852;3,8;6,37;24714;4700;1;0
Madrid;195197;6386932;8028;14;2431,62;9812454;16,7;12,62;503501;80008;0;0
Málaga;28927;1593068;7308;26,4;2803,57;4066685;16,8;12,28;110291;24181;1;0
Melilla;1550;73460;13;24,2;0,2;47669;10,3;18,05;3655;859;1;1
Murcia;28064;1446520;11313;20,7;3531,13;1038209;16,3;13,55;92196;24059;1;0
Navarra;18618;630578;10390;10,9;3650,22;726604;11,2;11,52;42347;7535;0;1
Ourense;5721;335642;7273;10,3;950,63;294892;4,6;6,57;23100;2699;0;1
Palencia;4035;173306;8053;14,1;4057,92;214153;4;7,48;10825;1930;0;0
Pontevedra;19205;959764;4495;15,5;742,57;1167410;4,1;9,55;68331;14551;1;1
Salamanca;6880;354608;12350;15,5;7728,55;872200;4,9;8,34;23376;5954;0;1
Segovia;3955;164854;6923;12,2;2976,64;385071;13;9,5;11597;2546;0;0
Sevilla;35886;1900224;14036;23,6;5469,75;2350553;3,8;13,69;116083;30380;0;0
Soria;2100;95101;10307;10,4;3275,51;171322;10;8,3;5885;1476;0;0
Tarragona;21595;803301;6303;17;2051,11;2273130;18,6;12,84;55914;12122;1;0
Tenerife;20225;1020490;3381;24,2;266,1;3107808;14,7;9,93;65065;12448;1;0
Teruel;3641;146751;14810;10,3;4595,33;324605;12,5;8,53;9388;1530;0;0
Toledo;12996;689635;15370;20,1;8025,88;686915;12,1;12,82;45223;10290;0;0
Valencia;56117;2575362;10806;20,7;2871,61;2581368;12,2;11,87;178755;35616;1;0
Valladolid;13405;532575;8110;12,4;5043,24;601581;6,1;9,7;35254;9821;0;0
Vizcaya;33510;1152658;2217;12,3;537,91;1006307;5,7;9,53;87527;17201;1;0
Zamora;3673;195665;10561;14,1;4619,14;234294;4,1;6,25;12098;2474;0;1
Zaragoza;25274;970313;17274;13,7;6970,72;1147583;13;10,95;66267;14092;0;0
